Name,OsmId,Class,RoadName,WidthCm,LengthCm,Layer,NumPoints,Points
R00000,5671181,secondary,West 37th Street,1000.0,4183.0,0,2,-971.4 -20854.2|1110.9 -24482.1
R00001,5672155,residential,East 40th Street,800.0,15440.2,0,3,6716.4 14158.0|-398.2 26922.8|-719.1 27684.5
R00002,36806906,residential,West 39th Street,800.0,46396.4,0,3,-207.6 10339.2|14301.1 -15683.8|22457.0 -30144.5
R00003,46522006,secondary,West 36th Street,1000.0,22865.6,0,2,-5747.4 -28105.3|-16840.6 -8110.8
R00004,226041001,residential,East 39th Street,800.0,9805.3,0,2,-7696.4 23842.2|-2912.7 15283.0
R00005,226041022,residential,West 40th Street,800.0,31043.0,0,2,21749.1 -13002.4|6716.4 14158.0
R00006,384649120,secondary,6th Avenue,1000.0,34979.2,0,5,-8892.2 -29870.4|-5747.4 -28105.3|1110.9 -24482.1|14185.6 -17143.9|21749.1 -13002.4
R00007,420496529,secondary,5th Avenue,1000.0,7773.0,0,2,-13975.5 2745.5|-20791.7 -990.6
R00008,420499931,secondary,East 37th Street,1000.0,15496.2,0,2,-21493.4 16296.0|-13975.5 2745.5
R00009,420904660,secondary,West 37th Street,1000.0,23803.2,0,2,-13975.5 2745.5|-2490.6 -18103.7
R00010,438385431,secondary,5th Avenue,1000.0,31380.4,0,2,13502.7 17900.6|-13975.5 2745.5
R00011,477873431,pedestrian,,500.0,13073.9,0,13,-8696.3 -1139.2|-10608.5 -2160.3|-12666.3 1701.7|-12322.0 1903.5|-11535.8 488.1|-10993.9 788.8|-10915.0 646.9|-10650.7 793.0|-10526.3 548.1|-10269.8 690.0|-9341.4 -1004.1|-8905.0 -763.4|-8696.3 -1139.2
R00012,483236728,residential,East 38th Street,800.0,15483.8,0,2,-7110.4 6532.3|-14622.7 20071.7
R00013,511699185,secondary,5th Avenue,1000.0,8507.4,0,2,20883.1 22132.1|13502.7 17900.6
R00014,542257009,residential,West 38th Street,800.0,44479.3,0,3,14289.4 -32459.5|8603.3 -21818.3|-7110.4 6532.3
R00015,618613774,service,,500.0,912.5,0,2,-3754.6 -1399.3|-2941.7 -984.7
R00016,618613775,service,,500.0,924.4,0,2,5330.5 -15914.5|4534.3 -16384.1
R00017,618613778,service,,500.0,920.8,0,2,-5168.2 1135.9|-4339.8 1537.8
R00018,618613780,service,,500.0,703.4,0,2,-2051.1 -1142.6|-2653.0 -1506.6
R00019,678234027,service,,500.0,1037.7,0,2,-16840.6 -8110.8|-17748.9 -8612.4
R00020,702073781,pedestrian,,500.0,56683.6,0,11,21180.5 -10782.3|8087.8 13099.8|8556.5 13358.2|9793.5 11116.0|10146.6 11311.1|10331.0 10973.3|10048.9 10816.2|9963.4 10963.2|9887.9 10785.0|21654.7 -10512.9|21180.5 -10782.3
R00021,702073782,pedestrian,,500.0,31179.3,0,20,21127.4 20306.3|19590.4 19452.6|19637.1 19361.4|19433.9 19385.0|13800.3 16232.7|12896.3 15798.7|9836.9 14066.7|9839.1 13965.4|9728.0 13869.1|9660.3 13968.7|8087.8 13099.8|8040.1 13186.8|7907.9 13522.0|7915.7 13710.4|8215.5 14044.8|20175.7 20660.2|20538.8 20800.4|20730.9 20780.9|20964.1 20584.2|21127.4 20306.3
R00022,702073785,pedestrian,,500.0,27092.1,0,33,16514.3 15856.0|10729.7 12636.1|10676.4 12731.5|10758.5 12774.6|10627.5 13021.2|10885.2 13163.9|10737.5 13432.5|10472.1 13288.9|10339.9 13532.1|10238.9 13475.5|10214.4 13536.3|10299.9 13722.1|13488.2 15495.5|13654.8 15194.0|13869.1 15313.9|13621.5 15759.8|14744.2 16391.5|15979.1 17072.1|16226.7 16624.5|16439.9 16746.1|16281.1 17035.8|19537.1 18839.5|19687.0 18814.2|19733.7 18742.4|19613.7 18673.1|19755.9 18421.5|19508.2 18283.0|19647.0 18028.8|19902.4 18165.6|20036.8 17913.1|20120.1 17960.4|20161.2 17886.1|16514.3 15856.0
