Name,OsmId,Kind,HeightCm,BaseCm,HeightSource,CentroidX,CentroidY,BoxX,BoxY,BoxLengthCm,BoxWidthCm,YawDeg,AreaM2,NumVerts,Outline
B00000,86337142,hotel,4000.0,0.0,tag:height,-16614.4,-2637.9,-16601.5,-2645.2,4098.3,3839.6,28.54,1546.75,10,-15717.9 19.4|-13967.7 -3200.7|-14885.0 -3699.0|-14809.5 -3856.1|-17482.4 -5309.5|-19038.3 -2453.3|-19104.9 -2176.3|-19053.8 -1885.8|-18947.2 -1757.5|-18795.1 -1652.7
B00001,160915057,yes,1200.0,0.0,estimate:default,13089.5,-21425.5,12907.6,-21430.2,5927.3,3004.1,29.2,1565.22,8,14762.0 -18673.3|16219.0 -21300.4|11053.1 -24187.0|9600.5 -21565.8|10627.7 -20992.3|11479.5 -22528.4|12525.6 -21944.0|11670.4 -20401.2
B00002,160921198,yes,12700.0,0.0,tag:height,13815.4,-21095.7,13805.3,-21076.6,2750.1,2403.3,299.06,603.34,12,14358.9 -19598.8|15409.5 -21491.3|14984.2 -21730.3|15095.2 -21928.8|13847.1 -22626.3|13736.0 -22425.4|13311.8 -22662.7|12259.0 -20767.7|12684.3 -20530.4|12515.5 -20225.5|13761.5 -19527.9|13932.5 -19837.0
B00003,160923101,yes,13300.0,0.0,tag:height,13836.1,-21132.9,13837.4,-21134.4,2140.9,2058.0,298.97,408.82,12,14293.4 -19833.6|15174.1 -21424.6|14748.8 -21661.9|14827.6 -21805.5|13880.4 -22334.1|13801.5 -22190.6|13377.3 -22427.9|12495.5 -20835.2|12918.6 -20599.6|12845.3 -20464.5|13789.2 -19937.5|13863.6 -20073.5
B00004,162977889,yes,4500.0,3700.0,tag:height,3713.9,7567.7,3924.9,7791.6,5376.9,3006.1,299.16,1267.06,8,3985.6 10532.6|3350.4 10174.5|5358.1 6629.3|6075.5 7022.0|6537.5 6170.7|3910.1 4733.4|1310.4 9392.5|3826.8 10815.5
B00005,162977891,yes,1500.0,0.0,tag:height,7933.1,9326.6,7901.9,9197.4,885.2,752.8,119.65,43.51,12,8442.0 8995.5|8243.2 8882.4|8149.9 9048.7|8034.5 8983.7|7947.8 9137.4|7829.0 9069.9|7749.1 9211.7|7639.1 9148.4|7560.3 9289.4|7451.5 9227.8|7357.1 9395.8|8010.0 9768.3
B00006,162977892,yes,3700.0,3300.0,tag:height,3717.7,7600.0,4048.9,7861.9,5378.8,3291.2,299.16,1279.95,8,4333.2 10729.3|3350.4 10174.5|5358.1 6629.3|6075.5 7022.0|6537.5 6170.7|3910.1 4733.4|1310.4 9392.5|4175.5 11012.3
B00007,162977894,yes,3300.0,2900.0,tag:height,3724.8,7633.4,4222.8,7959.9,5380.5,3690.4,299.16,1292.75,8,4680.8 10926.1|3350.4 10174.5|5358.1 6629.3|6075.5 7022.0|6537.5 6170.7|3910.1 4733.4|1310.4 9392.5|4523.1 11208.2
B00008,162977896,commercial,4500.0,0.0,tag:height,6727.9,10795.7,6698.9,10723.1,2972.2,1299.6,120.32,342.16,13,8010.0 9768.3|7251.6 9335.9|7122.8 9565.6|7043.9 9520.8|6940.6 9704.1|6875.1 9666.9|6768.5 9855.3|6620.8 9770.8|6223.3 10336.6|5541.4 11415.1|5829.1 11580.6|5679.1 11848.3|6517.6 12320.3
B00009,162977898,yes,2900.0,2500.0,tag:height,3735.1,7668.4,4396.6,8058.3,5383.0,4089.8,299.16,1305.68,8,5028.4 11122.9|3350.4 10174.5|5358.1 6629.3|6075.5 7022.0|6537.5 6170.7|3910.1 4733.4|1310.4 9392.5|4870.7 11404.9
B00010,162977901,yes,2500.0,0.0,tag:height,3747.2,7699.3,4556.9,8147.3,5382.2,4456.7,299.16,1316.62,8,5346.0 11305.3|3350.4 10174.5|5358.1 6629.3|6075.5 7022.0|6537.5 6170.7|3910.1 4733.4|1310.4 9392.5|5191.6 11583.1
B00011,162977905,yes,12200.0,0.0,tag:height,5696.3,8932.6,6041.7,9332.5,4117.8,3853.8,299.52,1130.04,9,5541.4 11415.1|5497.0 11144.8|6434.2 9608.7|8179.9 8679.7|8379.8 8796.2|8442.0 8995.5|8733.0 8490.5|5358.1 6629.3|3350.4 10174.5
B00012,162977914,yes,6000.0,5300.0,tag:height,4992.8,5877.7,4992.8,5877.7,2998.1,968.5,208.68,290.06,4,3910.1 4733.4|3448.1 5584.7|6075.5 7022.0|6537.5 6170.7
B00013,162977916,yes,5300.0,4500.0,tag:height,3800.0,7375.6,4004.9,7648.8,5049.1,3006.0,299.15,1172.71,6,3350.4 10174.5|5358.1 6629.3|6075.5 7022.0|6537.5 6170.7|3910.1 4733.4|1471.5 9105.4
B00014,162979253,yes,19300.0,0.0,tag:height,-16473.4,-2562.8,-16476.2,-2561.5,3459.2,2604.6,29.02,897.97,4,-14332.0 -2861.2|-17357.0 -4539.3|-18609.6 -2255.7|-15594.6 -590.3
B00015,218327129,yes,4000.0,0.0,tag:height,19534.8,-17696.8,19645.7,-17641.0,5846.4,3047.0,28.66,1676.6,8,22459.9 -17755.1|17811.4 -20379.9|16350.0 -17706.3|21040.6 -15208.2|21319.4 -15715.7|21763.6 -15450.6|22609.8 -16968.9|22161.2 -17220.6
B00016,260073224,yes,2500.0,0.0,tag:height,16102.3,21367.7,16104.1,21371.8,1526.7,386.6,29.03,58.05,4,16679.9 21900.0|16865.3 21573.2|15533.8 20834.3|15342.8 21170.4
B00017,265301692,yes,1200.0,0.0,estimate:default,13311.9,-2384.2,13319.2,-2377.0,2325.9,1849.9,29.05,424.6,6,11853.4 -2133.2|13721.2 -1108.0|13987.7 -1185.7|14700.7 -2473.5|14606.3 -2720.1|12756.2 -3747.8
B00018,265301698,yes,4960.0,0.0,tag:height,-8615.2,-1969.4,-8615.2,-1969.4,2985.9,1530.9,29.02,457.06,4,-10292.0 -2024.3|-7681.3 -576.0|-6938.3 -1914.5|-9549.1 -3362.9
B00019,265301700,yes,5180.0,0.0,tag:height,6129.1,3808.6,6125.8,3803.1,3759.2,2994.9,298.68,1120.91,4,6537.5 6170.7|8339.8 2875.5|5734.6 1446.6|3910.1 4733.4
B00020,265301703,yes,1250.0,0.0,tag:height,2426.7,-20667.0,2426.7,-20667.0,2321.4,640.6,299.08,148.69,4,1582.7 -19808.6|2142.4 -19497.0|3270.7 -21525.4|2711.0 -21837.1
B00021,265301704,yes,940.0,0.0,tag:height,2991.6,-20362.7,2993.6,-20352.0,2322.0,656.5,299.08,149.14,4,2142.4 -19497.0|2692.1 -19192.1|3844.8 -21207.0|3270.7 -21525.4
B00022,265301705,residential,1600.0,0.0,tag:height,4017.4,-18503.3,4016.4,-18509.5,4126.8,2972.9,299.06,1219.86,4,1714.8 -17428.0|4313.3 -15983.8|6311.2 -19594.8|3736.0 -21019.6
B00023,265301712,yes,2040.0,0.0,tag:height,8935.9,-16870.6,8936.2,-16870.6,2614.2,634.7,119.02,165.77,4,8024.6 -15881.5|8579.8 -15574.1|9846.9 -17860.1|9292.8 -18167.6
B00024,265301713,yes,1010.0,0.0,tag:height,11314.0,-21613.3,11314.6,-21613.0,1761.1,599.4,299.01,105.12,4,10627.7 -20992.3|11149.6 -20697.6|12000.3 -22237.1|11479.5 -22528.4
B00025,265301714,yes,2050.0,0.0,tag:height,9490.3,-16563.8,9490.0,-16563.7,2615.0,633.3,119.01,165.49,4,8579.8 -15574.1|9132.8 -15266.7|10401.1 -17553.6|9846.9 -17860.1
B00026,265301715,yes,1420.0,0.0,tag:height,11836.9,-21320.4,11835.4,-21319.1,1765.7,601.5,119.0,105.75,4,11149.6 -20697.6|11670.4 -20401.2|12525.6 -21944.0|12000.3 -22237.1
B00027,265301717,yes,2030.0,0.0,tag:height,9983.7,-16053.4,9983.8,-16053.4,3028.6,725.9,299.02,219.7,4,9567.0 -14554.0|11035.2 -17201.4|10401.1 -17553.6|8931.8 -14905.3
B00028,265301719,yes,1880.0,0.0,tag:height,10871.5,-16245.0,10871.8,-16245.2,1831.3,642.5,299.01,117.53,4,10146.7 -15600.3|10708.6 -15288.7|11595.9 -16890.6|11035.2 -17201.4
B00029,265301720,apartments,8500.0,0.0,tag:height,17311.5,-12010.2,17311.5,-12010.2,3021.2,1222.9,298.89,369.4,4,16046.7 -10983.4|17117.2 -10392.2|18576.4 -13037.1|17505.9 -13628.3
B00030,265301728,yes,2340.0,0.0,tag:height,-14629.0,-7618.8,-14629.0,-7618.8,2656.3,788.1,208.45,209.14,4,-15982.1 -7903.9|-13649.0 -6639.6|-13275.9 -7333.8|-15609.0 -8598.1
B00031,265301729,yes,1940.0,0.0,tag:height,-7038.3,-5013.4,-6963.9,-4941.8,2989.9,769.6,209.03,209.81,6,-8457.5 -5330.6|-6649.6 -4327.3|-6543.0 -4519.0|-5736.8 -4072.2|-5470.3 -4552.7|-8084.4 -6003.6
B00032,265301733,yes,4680.0,0.0,tag:height,-11648.7,-6320.5,-11648.8,-6320.7,3002.6,1331.7,208.51,399.75,4,-13285.9 -6452.1|-10647.4 -5019.0|-10012.2 -6189.4|-12649.6 -7621.8
B00033,265301736,yes,1540.0,0.0,tag:height,8610.3,5790.7,8616.7,5791.4,2833.4,754.6,28.67,211.89,4,7192.7 5442.8|9670.2 6797.3|10035.5 6149.6|7554.7 4780.7
B00034,265301761,yes,2700.0,0.0,tag:height,-14269.7,-8292.9,-14268.7,-8294.0,2660.7,742.5,208.45,196.42,4,-15609.0 -8598.1|-13275.9 -7333.8|-12926.1 -7981.5|-15261.4 -9254.2
B00035,265301763,yes,1750.0,0.0,tag:height,-407.3,-839.9,-407.4,-840.2,2698.5,538.7,209.02,145.25,4,-1717.9 -1259.2|641.9 49.8|902.8 -421.4|-1457.0 -1729.5
B00036,265301805,office,6140.0,0.0,tag:height,-13745.7,-9255.9,-13745.9,-9256.9,2660.4,1455.1,208.59,386.63,4,-15261.4 -9254.2|-12926.1 -7981.5|-12229.8 -9259.3|-14567.3 -10529.5
